GenericNNet3 results
... Connectivity = 
[[0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
--> training_data generated (1000, 2)
Epoch 23000/25000: Average Cost = 0.035492386386159716
Epoch 23100/25000: Average Cost = 0.035458551357054356
Epoch 23200/25000: Average Cost = 0.035424936409007964
Epoch 23300/25000: Average Cost = 0.03539153977934657
Epoch 23400/25000: Average Cost = 0.03535835971163294
Epoch 23500/25000: Average Cost = 0.0353253944557428
Epoch 23600/25000: Average Cost = 0.03529264226799394
Epoch 23700/25000: Average Cost = 0.035260101411258495
Epoch 23800/25000: Average Cost = 0.03522777015510937
Epoch 23900/25000: Average Cost = 0.035195646775968266
Epoch 24000/25000: Average Cost = 0.03516372955725291
Epoch 24100/25000: Average Cost = 0.03513201678955445
Epoch 24200/25000: Average Cost = 0.03510050677080032
Epoch 24300/25000: Average Cost = 0.035069197806421
Epoch 24400/25000: Average Cost = 0.03503808820955276
Epoch 24500/25000: Average Cost = 0.035007176301190844
Epoch 24600/25000: Average Cost = 0.03497646041039164
Epoch 24700/25000: Average Cost = 0.034945938874442105
Epoch 24800/25000: Average Cost = 0.03491561003905535
Epoch 24900/25000: Average Cost = 0.034885472258532134
Epoch 25000/25000: Average Cost = 0.034855523895962644
--> training done (1000, 2)
--> predictions done (500,)
